metodo,orden,problema,hebras,tamvector,neqn,salto,tiempo
2,4,4,1,200,80000,6,4.29126e+06
2,4,4,4,200,80000,6,1.14821e+06
2,4,4,16,200,80000,6,320385
3,4,4,1,200,80000,6,577431
3,4,4,4,200,80000,6,145399
3,4,4,16,200,80000,6,64717.7
4,4,4,1,200,80000,6,1.10022e+06
4,4,4,4,200,80000,6,283594
4,4,4,16,200,80000,6,100560
5,5,4,1,200,80000,6,1.85449e+06
5,5,4,4,200,80000,6,465832
5,5,4,16,200,80000,6,212866
6,5,4,1,200,80000,6,3.80063e+06
6,5,4,4,200,80000,6,1.01765e+06
6,5,4,16,200,80000,6,335249
1,4,4,1,500,500000,6,1.19324e+07
1,4,4,4,500,500000,6,3.28093e+06
1,4,4,16,500,500000,6,848639
2,4,4,1,500,500000,6,2.6879e+07
